iter,mean_ep_rew_step,ret,loss,fwd_mean,ep_len,fall_rate,vx_mean,sps
82,-1.6693,-13.2822,0.6619,nan,nan,nan,nan,2.735e+05
83,-1.6382,-12.9763,0.6251,nan,nan,nan,nan,2.744e+05
84,-1.6047,-12.7306,0.5739,nan,nan,nan,nan,2.753e+05
85,-1.5728,-12.4367,0.5527,nan,nan,nan,nan,2.762e+05
86,-1.5394,-12.1739,0.5010,nan,nan,nan,nan,2.771e+05
87,-1.5076,-11.9279,0.4775,nan,nan,nan,nan,2.780e+05
88,-1.4774,-11.7039,0.4501,nan,nan,nan,nan,2.788e+05
89,-1.4501,-11.4877,0.4196,nan,nan,nan,nan,2.796e+05
90,-1.4142,-11.2600,0.4082,nan,nan,nan,nan,2.804e+05
91,-1.3867,-11.0450,0.3753,nan,nan,nan,nan,2.812e+05
92,-1.3565,-10.8634,0.3473,nan,nan,nan,nan,2.820e+05
93,-1.3268,-10.6695,0.3470,nan,nan,nan,nan,2.828e+05
94,-1.2956,-10.4478,0.3196,nan,nan,nan,nan,2.835e+05
95,-1.2702,-10.3012,0.3056,nan,nan,nan,nan,2.842e+05
96,-1.2396,-10.1284,0.2968,nan,nan,nan,nan,2.850e+05
97,-1.2124,-9.9653,0.2850,nan,nan,nan,nan,2.857e+05
98,-1.1835,-9.8035,0.2719,nan,nan,nan,nan,2.864e+05
99,-1.1565,-9.6688,0.2628,nan,nan,nan,nan,2.871e+05
100,-1.1308,-9.5112,0.2571,0.0331,10.94,1.0000,0.1513,2.878e+05
101,-1.0893,-9.3086,0.2470,nan,nan,nan,nan,2.692e+05
102,-1.0760,-9.1978,0.2393,nan,nan,nan,nan,2.699e+05
103,-1.0510,-9.0642,0.2341,nan,nan,nan,nan,2.707e+05
104,-1.0319,-8.9217,0.2213,nan,nan,nan,nan,2.714e+05
105,-1.0023,-8.7813,0.2056,nan,nan,nan,nan,2.721e+05
106,-0.9817,-8.6559,0.1983,nan,nan,nan,nan,2.728e+05
107,-0.9608,-8.5141,0.1891,nan,nan,nan,nan,2.735e+05
108,-0.9359,-8.3966,0.1888,nan,nan,nan,nan,2.742e+05
109,-0.9139,-8.2756,0.1886,nan,nan,nan,nan,2.749e+05
110,-0.8838,-8.1360,0.1807,nan,nan,nan,nan,2.756e+05
111,-0.8621,-8.0002,0.1832,nan,nan,nan,nan,2.762e+05
112,-0.8425,-7.8891,0.1705,nan,nan,nan,nan,2.769e+05
113,-0.8198,-7.7678,0.1629,nan,nan,nan,nan,2.775e+05
114,-0.7937,-7.6156,0.1588,nan,nan,nan,nan,2.781e+05
115,-0.7647,-7.4618,0.1512,nan,nan,nan,nan,2.788e+05
116,-0.7468,-7.3305,0.1456,nan,nan,nan,nan,2.794e+05
117,-0.7222,-7.2049,0.1433,nan,nan,nan,nan,2.800e+05
118,-0.7018,-7.0752,0.1377,nan,nan,nan,nan,2.806e+05
119,-0.6800,-6.9501,0.1397,nan,nan,nan,nan,2.812e+05
120,-0.6562,-6.8265,0.1303,nan,nan,nan,nan,2.818e+05
121,-0.6359,-6.7055,0.1262,nan,nan,nan,nan,2.824e+05
122,-0.6121,-6.5755,0.1229,nan,nan,nan,nan,2.830e+05
123,-0.5955,-6.4797,0.1152,nan,nan,nan,nan,2.836e+05
124,-0.5718,-6.3500,0.1247,nan,nan,nan,nan,2.842e+05
125,-0.5533,-6.2414,0.1016,0.0568,12.05,1.0000,0.2357,2.847e+05
126,-0.4851,-6.0326,0.1144,nan,nan,nan,nan,2.710e+05
127,-0.5399,-5.9759,0.1026,nan,nan,nan,nan,2.716e+05
128,-0.4810,-5.9012,0.1037,nan,nan,nan,nan,2.722e+05
129,-0.4708,-5.7796,0.0951,nan,nan,nan,nan,2.728e+05
130,-0.4651,-5.6668,0.0976,nan,nan,nan,nan,2.734e+05
131,-0.4312,-5.5576,0.0937,nan,nan,nan,nan,2.740e+05
132,-0.4133,-5.4659,0.0914,nan,nan,nan,nan,2.746e+05
133,-0.3984,-5.3561,0.0929,nan,nan,nan,nan,2.752e+05
134,-0.3775,-5.2443,0.0866,nan,nan,nan,nan,2.758e+05
135,-0.3583,-5.1382,0.0921,nan,nan,nan,nan,2.764e+05
136,-0.3417,-5.0259,0.0864,nan,nan,nan,nan,2.770e+05
137,-0.3209,-4.9156,0.0860,nan,nan,nan,nan,2.775e+05
138,-0.3077,-4.8222,0.0881,nan,nan,nan,nan,2.781e+05
139,-0.2870,-4.7032,0.0833,nan,nan,nan,nan,2.787e+05
140,-0.2660,-4.5903,0.0985,nan,nan,nan,nan,2.792e+05
141,-0.2474,-4.4988,0.0921,nan,nan,nan,nan,2.798e+05
142,-0.2303,-4.3939,0.1011,nan,nan,nan,nan,2.803e+05
143,-0.2136,-4.3009,0.0921,nan,nan,nan,nan,2.809e+05
144,-0.1976,-4.2177,0.0998,nan,nan,nan,nan,2.815e+05
145,-0.1810,-4.1442,0.1072,nan,nan,nan,nan,2.820e+05
146,-0.1698,-4.0849,0.1141,nan,nan,nan,nan,2.826e+05
147,-0.1544,-4.0186,0.1092,nan,nan,nan,nan,2.831e+05
148,-0.1414,-3.9423,0.1085,nan,nan,nan,nan,2.837e+05
149,-0.1297,-3.8593,0.1219,nan,nan,nan,nan,2.842e+05
150,-0.1156,-3.7838,0.1214,0.0710,17.05,1.0000,0.2082,2.847e+05
151,-0.0893,-3.6460,0.0968,nan,nan,nan,nan,2.755e+05
152,-0.0558,-3.6512,0.1326,nan,nan,nan,nan,2.761e+05
153,-0.0666,-3.5215,0.1367,nan,nan,nan,nan,2.767e+05
154,-0.0798,-3.4953,0.1364,nan,nan,nan,nan,2.773e+05
155,-0.0506,-3.4463,0.1603,nan,nan,nan,nan,2.778e+05
156,-0.0336,-3.3405,0.1656,nan,nan,nan,nan,2.784e+05
157,-0.0246,-3.2693,0.2026,nan,nan,nan,nan,2.789e+05
158,-0.0082,-3.1145,0.3055,nan,nan,nan,nan,2.795e+05
159,0.0090,-2.8416,0.4522,nan,nan,nan,nan,2.801e+05
160,0.0339,-2.3706,0.7699,nan,nan,nan,nan,2.807e+05
161,0.0614,-1.3728,1.3549,nan,nan,nan,nan,2.813e+05
162,0.1003,-0.2313,1.8446,nan,nan,nan,nan,2.819e+05
163,0.1300,0.9927,2.2457,nan,nan,nan,nan,2.825e+05
164,0.1667,1.9530,2.2787,nan,nan,nan,nan,2.831e+05
165,0.1967,2.9288,2.1630,nan,nan,nan,nan,2.837e+05
166,0.2249,3.6524,1.8725,nan,nan,nan,nan,2.843e+05
167,0.2475,4.2610,1.6499,nan,nan,nan,nan,2.849e+05
168,0.2598,4.6931,1.4169,nan,nan,nan,nan,2.855e+05
169,0.2783,4.9583,1.3182,nan,nan,nan,nan,2.861e+05
170,0.2876,5.4071,1.2671,nan,nan,nan,nan,2.867e+05
171,0.3090,5.7597,1.2584,nan,nan,nan,nan,2.872e+05
172,0.3175,6.2752,1.2364,nan,nan,nan,nan,2.878e+05
173,0.3354,6.5572,1.0652,nan,nan,nan,nan,2.884e+05
174,0.3620,7.1038,0.9777,nan,nan,nan,nan,2.889e+05
175,0.3710,7.5200,0.9380,0.6871,61.02,1.0000,0.5633,2.895e+05
176,0.3926,4.8823,0.4411,nan,nan,nan,nan,2.809e+05
177,0.5175,10.8023,1.2269,nan,nan,nan,nan,2.815e+05
178,0.3155,7.8035,0.6539,nan,nan,nan,nan,2.820e+05
179,0.5436,8.1540,1.0026,nan,nan,nan,nan,2.826e+05
180,0.3676,10.8145,0.7852,nan,nan,nan,nan,2.831e+05
181,0.4914,7.1712,0.7038,nan,nan,nan,nan,2.837e+05
182,0.4669,12.2107,0.9457,nan,nan,nan,nan,2.842e+05
183,0.4562,8.3682,0.6622,nan,nan,nan,nan,2.848e+05
184,0.5298,12.0410,1.0021,nan,nan,nan,nan,2.853e+05
185,0.4534,10.1455,0.6650,nan,nan,nan,nan,2.858e+05
186,0.5531,11.8118,0.9996,nan,nan,nan,nan,2.864e+05
187,0.4735,11.6408,0.7888,nan,nan,nan,nan,2.869e+05
188,0.5628,11.8177,0.9847,nan,nan,nan,nan,2.874e+05
189,0.4927,12.7972,0.9455,nan,nan,nan,nan,2.879e+05
190,0.5667,12.4306,1.0553,nan,nan,nan,nan,2.884e+05
191,0.5137,13.6259,1.0897,nan,nan,nan,nan,2.889e+05
192,0.5651,13.3269,1.2868,nan,nan,nan,nan,2.894e+05
193,0.5302,14.1702,1.2614,nan,nan,nan,nan,2.899e+05
194,0.5666,14.4701,1.4633,nan,nan,nan,nan,2.904e+05
195,0.5427,14.9199,1.4641,nan,nan,nan,nan,2.909e+05
196,0.5653,15.5733,1.8669,nan,nan,nan,nan,2.914e+05
197,0.5538,15.5504,1.8213,nan,nan,nan,nan,2.919e+05
198,0.5642,16.4313,1.8804,nan,nan,nan,nan,2.923e+05
199,0.5641,16.4233,1.9604,nan,nan,nan,nan,2.928e+05
200,0.5594,17.2390,2.0825,0.8651,84.28,1.0000,0.5140,2.932e+05
201,0.5035,10.1881,0.6067,nan,nan,nan,nan,2.856e+05
202,0.5529,24.6276,3.0417,nan,nan,nan,nan,2.861e+05
203,0.6699,15.1162,1.6264,nan,nan,nan,nan,2.865e+05
204,0.5004,18.3138,1.7418,nan,nan,nan,nan,2.869e+05
205,0.6217,21.1936,2.6949,nan,nan,nan,nan,2.874e+05
