iter,mean_ep_rew_step,ret,loss,fwd_mean,ep_len,fall_rate,vx_mean,sps
82,-1.7402,-12.8335,0.6273,nan,nan,nan,nan,2.435e+05
83,-1.7085,-12.5665,0.5898,nan,nan,nan,nan,2.443e+05
84,-1.6665,-12.3293,0.5641,nan,nan,nan,nan,2.451e+05
85,-1.6333,-12.1138,0.5375,nan,nan,nan,nan,2.458e+05
86,-1.5891,-11.8672,0.4997,nan,nan,nan,nan,2.466e+05
87,-1.5605,-11.6561,0.4938,nan,nan,nan,nan,2.473e+05
88,-1.5253,-11.4292,0.4588,nan,nan,nan,nan,2.481e+05
89,-1.4918,-11.2058,0.4413,nan,nan,nan,nan,2.488e+05
90,-1.4596,-11.0256,0.4240,nan,nan,nan,nan,2.495e+05
91,-1.4279,-10.8306,0.4087,nan,nan,nan,nan,2.501e+05
92,-1.3963,-10.6580,0.3942,nan,nan,nan,nan,2.508e+05
93,-1.3568,-10.4507,0.3665,nan,nan,nan,nan,2.515e+05
94,-1.3235,-10.2823,0.3462,nan,nan,nan,nan,2.521e+05
95,-1.3017,-10.1238,0.3301,nan,nan,nan,nan,2.528e+05
96,-1.2748,-9.9647,0.3084,nan,nan,nan,nan,2.534e+05
97,-1.2453,-9.8009,0.3052,nan,nan,nan,nan,2.540e+05
98,-1.2089,-9.6244,0.2915,nan,nan,nan,nan,2.547e+05
99,-1.1794,-9.4601,0.2739,nan,nan,nan,nan,2.553e+05
100,-1.1536,-9.3166,0.2609,0.0447,10.79,1.0000,0.2078,2.559e+05
101,-1.0953,-9.1327,0.2615,nan,nan,nan,nan,2.402e+05
102,-1.0995,-8.9908,0.2545,nan,nan,nan,nan,2.408e+05
103,-1.0636,-8.8567,0.2427,nan,nan,nan,nan,2.415e+05
104,-1.0297,-8.7227,0.2274,nan,nan,nan,nan,2.421e+05
105,-1.0048,-8.5605,0.2187,nan,nan,nan,nan,2.428e+05
106,-0.9801,-8.4247,0.2026,nan,nan,nan,nan,2.434e+05
107,-0.9432,-8.2839,0.1995,nan,nan,nan,nan,2.440e+05
108,-0.9163,-8.1416,0.2015,nan,nan,nan,nan,2.446e+05
109,-0.8870,-8.0195,0.1915,nan,nan,nan,nan,2.452e+05
